long,lat,order,hole,piece,group,id,total
-87.67694011,42.01941069,247,FALSE,1,1.1,1,34
-87.67690634,42.01941146,248,FALSE,1,1.1,1,34
-87.67688203,42.01941132,249,FALSE,1,1.1,1,34
-87.676878,42.0194113,250,FALSE,1,1.1,1,34
-87.67685492,42.01941117,251,FALSE,1,1.1,1,34
-87.67682977,42.01941102,252,FALSE,1,1.1,1,34
-87.67682976,42.01941102,253,FALSE,1,1.1,1,34
-87.67675715,42.01941061,254,FALSE,1,1.1,1,34
-87.67657843,42.01940917,255,FALSE,1,1.1,1,34
-87.67646995,42.01940776,256,FALSE,1,1.1,1,34
-87.67630676,42.0194027,257,FALSE,1,1.1,1,34
-87.67607046,42.01939537,258,FALSE,1,1.1,1,34
-87.67568144,42.01940168,259,FALSE,1,1.1,1,34
-87.6753662,42.01939946,260,FALSE,1,1.1,1,34
-87.67536619,42.01939946,261,FALSE,1,1.1,1,34
-87.67500412,42.01939811,262,FALSE,1,1.1,1,34
-87.67488839,42.01939768,263,FALSE,1,1.1,1,34
-87.67440805,42.0193952,264,FALSE,1,1.1,1,34
-87.67414972,42.01939479,265,FALSE,1,1.1,1,34
-87.67397782,42.01939451,266,FALSE,1,1.1,1,34
-87.67395279,42.01939417,267,FALSE,1,1.1,1,34
-87.67373382,42.01939115,268,FALSE,1,1.1,1,34
-87.67364154,42.01938987,269,FALSE,1,1.1,1,34
-87.67363827,42.01938983,270,FALSE,1,1.1,1,34
-87.67363682,42.01938981,271,FALSE,1,1.1,1,34
-87.67352619,42.01938828,272,FALSE,1,1.1,1,34
-87.673507420000007,42.01938802,273,FALSE,1,1.1,1,34
-87.67347277,42.01938781,274,FALSE,1,1.1,1,34
-87.67331536,42.01938682,275,FALSE,1,1.1,1,34
-87.67318423,42.01938601,276,FALSE,1,1.1,1,34
-87.6731842,42.01938601,277,FALSE,1,1.1,1,34
-87.67312468,42.01938564,278,FALSE,1,1.1,1,34
-87.67311771,42.01938559,279,FALSE,1,1.1,1,34
-87.67311984,42.01938733,280,FALSE,1,1.1,1,34
-87.67327055,42.01951001,281,FALSE,1,1.1,1,34
-87.67330589,42.01953877,282,FALSE,1,1.1,1,34
-87.67349426,42.0196921,283,FALSE,1,1.1,1,34
-87.67355185,42.01973898,284,FALSE,1,1.1,1,34
-87.67365021,42.01981907,285,FALSE,1,1.1,1,34
-87.67370228,42.01986147,286,FALSE,1,1.1,1,34
-87.67375086,42.01990102,287,FALSE,1,1.1,1,34
-87.67375576,42.01990501,288,FALSE,1,1.1,1,34
-87.6740916,42.02017839,289,FALSE,1,1.1,1,34
-87.67433165,42.0203738,290,FALSE,1,1.1,1,34
-87.67452056,42.02052757,291,FALSE,1,1.1,1,34
-87.67455574,42.02055621,292,FALSE,1,1.1,1,34
-87.67479856,42.02075386,293,FALSE,1,1.1,1,34
-87.67507253,42.02097687,294,FALSE,1,1.1,1,34
-87.67531753,42.0211763,295,FALSE,1,1.1,1,34
-87.67550437,42.02132838,296,FALSE,1,1.1,1,34
-87.67559528,42.02140238,297,FALSE,1,1.1,1,34
-87.67572001,42.0215039,298,FALSE,1,1.1,1,34
-87.67589621,42.02164732,299,FALSE,1,1.1,1,34
-87.67607402,42.02179204,300,FALSE,1,1.1,1,34
-87.67624075,42.02192774,301,FALSE,1,1.1,1,34
-87.67639908,42.02213551,302,FALSE,1,1.1,1,34
-87.67653167,42.02230951,303,FALSE,1,1.1,1,34
-87.67664629,42.02245991,304,FALSE,1,1.1,1,34
-87.67665666,42.02247451,305,FALSE,1,1.1,1,34
-87.67671065,42.02255075,306,FALSE,1,1.1,1,34
-87.67676593,42.02262881,307,FALSE,1,1.1,1,34
-87.67690326,42.02282277,308,FALSE,1,1.1,1,34
-87.67696685,42.02291258,309,FALSE,1,1.1,1,34
-87.67704972,42.02302963,310,FALSE,1,1.1,1,34
-87.67704972,42.02302963,311,FALSE,1,1.1,1,34
-87.67705606,42.02303859,312,FALSE,1,1.1,1,34
-87.6769653,42.02303797,313,FALSE,1,1.1,1,34
-87.67557757,42.02302848,314,FALSE,1,1.1,1,34
-87.67230906,42.02300602,315,FALSE,1,1.1,1,34
-87.67069739,42.02299492,316,FALSE,1,1.1,1,34
-87.66728811,42.02296597,317,FALSE,1,1.1,1,34
-87.66562049,42.02295178,318,FALSE,1,1.1,1,34
-87.66543361,42.02295019,319,FALSE,1,1.1,1,34
-87.66536346,42.02294959,320,FALSE,1,1.1,1,34
-87.66525213,42.02294864,321,FALSE,1,1.1,1,34
-87.6651659,42.02294791,322,FALSE,1,1.1,1,34
-87.66512639,42.02294757,323,FALSE,1,1.1,1,34
-87.66513801,42.02292545,324,FALSE,1,1.1,1,34
-87.66513814,42.0229252,325,FALSE,1,1.1,1,34
-87.66513843,42.02292468,326,FALSE,1,1.1,1,34
-87.66514252,42.02291732,327,FALSE,1,1.1,1,34
